模型,策略,5-shot,10-shot,20%,Full
resnet18,freeze_all,42.414529914529915,55.876068376068375,80.02136752136752,86.96581196581197
resnet18,fine_tune_last,59.93589743589744,77.88461538461539,90.8119658119658,96.58119658119658
resnet18,full_fine_tune,47.43589743589744,53.098290598290596,87.3931623931624,95.51282051282051
resnet18,baseline,21.04700854700855,29.807692307692307,56.623931623931625,69.12393162393163
resnet50,freeze_all,56.73076923076923,70.94017094017094,83.97435897435898,91.45299145299145
resnet50,fine_tune_last,58.86752136752137,78.84615384615384,92.62820512820512,98.18376068376068
resnet50,full_fine_tune,61.53846153846154,67.52136752136752,90.7051282051282,95.61965811965813
resnet50,baseline,,,,
efficientnet_v2_s,freeze_all,49.03846153846154,74.8931623931624,93.69658119658119,98.18376068376068
efficientnet_v2_s,fine_tune_last,54.05982905982906,70.51282051282051,94.23076923076923,97.97008547008546
efficientnet_v2_s,full_fine_tune,68.05555555555556,75.32051282051282,88.46153846153847,97.64957264957265
efficientnet_v2_s,baseline,,,,
