模型,策略,5-shot,10-shot,20%,Full
resnet18,freeze_all,26.85904550499445,43.39622641509434,70.47724750277469,78.35738068812431
resnet18,fine_tune_last,54.49500554938957,61.26526082130965,83.35183129855716,93.22974472807991
resnet18,full_fine_tune,38.29078801331853,47.05882352941177,72.69700332963374,87.12541620421753
resnet18,baseline,28.079911209766927,27.524972253052166,51.3873473917869,59.822419533851274
resnet50,freeze_all,48.50166481687015,54.60599334073252,70.25527192008879,84.35072142064372
resnet50,fine_tune_last,62.93007769145394,71.69811320754717,87.6803551609323,96.78135405105438
resnet50,full_fine_tune,50.055493895671475,61.26526082130965,82.68590455049944,91.45394006659268
resnet50,baseline,,,,
efficientnet_v2_s,freeze_all,47.16981132075472,53.82907880133185,83.90677025527192,96.44839067702553
efficientnet_v2_s,fine_tune_last,42.39733629300777,50.943396226415096,82.7968923418424,95.56048834628191
efficientnet_v2_s,full_fine_tune,47.16981132075472,56.38179800221975,80.57713651498335,94.11764705882354
efficientnet_v2_s,baseline,,,,
